통계표명:,환율
단위:,원/달러
,환율
,원/달러
202210월,"1,424.3"
202211월,"1,318.8"
202212월,"1,264.5"
202301월,"1,231.9"
202302월,"1,322.6"
202303월,"1,301.9"
202304월,"1,337.7"
202305월,"1,327.2"
202306월,"1,317.7"
202307월,"1,274.6"
202308월,"1,321.8"
202309월,"1,349.3"
202310월,"1,350.5"
202311월,"1,290.0"
202312월,"1,288.0"
202401월,"1,334.6"
202402월,"1,331.5"
202403월,"1,347.2"
202404월,"1,382.0"
202405월,"1,384.5"
202406월,"1,376.7"
202407월,"1,376.5"
202408월,"1,336.0"
202409월,"1,307.8"
202410월,"1,379.9"
202411월,"1,394.7"
202412월,"1,472.5"
202501월,"1,452.7"
출처:,기획재정부 (통화별 환율 조사통계)
주석:,"* 환율은 서울외환시장 종가(15:30현재, &apos;05.2월 이전은 16:00현재, &apos;03년 이전은 16:30현재)"
,* 절상율은 전년말비 변동율
