통계표명:,소비자물가상승률,,,,,,,
단위:,"전년비,전년동월비, %",,,,,,,
,물가상승률,,,,,,,
,소비자물가,,,,,,,
200702월,2.2,3.4,0.6,1.6,2.6,3.1,2.3,2.4
200703월,2.2,1.6,1.1,1.7,2.6,3.3,2.4,2.5
200704월,2.5,1.7,1.6,1.8,3.2,3.1,2.6,2.9
200705월,2.3,1.8,1.1,1.8,3.6,3.1,2.2,3.1
200706월,2.5,2.4,1.6,1.9,3.5,3.0,2.3,3.2
200707월,2.5,3.5,1.4,1.9,3.1,3.1,2.3,3.3
200708월,2.0,-2.6,1.4,2.0,3.1,3.2,2.3,2.4
200709월,2.3,0.7,1.8,2.0,2.6,3.2,2.3,2.7
200710월,3.0,4.4,2.8,1.8,2.6,3.3,2.4,3.9
200711월,3.5,4.5,4.1,1.9,3.4,3.2,2.4,4.9
200712월,3.6,2.6,4.8,1.9,3.3,3.3,2.4,4.8
200801월,3.9,1.9,5.7,1.9,3.0,3.6,2.8,5.1
200802월,3.6,-0.6,5.6,1.9,3.3,3.5,2.8,4.6
200803월,3.9,-1.3,6.3,2.0,3.3,3.9,3.3,4.9
200804월,4.1,-0.2,6.7,2.1,3.0,4.1,3.5,5.1
200805월,4.9,1.2,8.5,2.2,2.5,4.4,3.9,5.9
200806월,5.5,1.3,10.5,2.4,2.5,4.8,4.3,7.0
200807월,5.9,1.4,11.4,2.4,2.2,5.0,4.6,7.1
200808월,5.6,3.5,9.7,2.4,2.3,5.2,4.7,6.6
200809월,5.1,-0.9,9.3,2.4,1.6,5.3,5.1,5.5
200810월,4.8,-3.3,9.1,2.6,1.8,5.4,5.2,4.8
200811월,4.5,0.8,6.3,2.5,2.1,5.5,5.3,4.0
200812월,4.1,2.5,4.9,2.4,1.8,5.4,5.6,3.0
200901월,3.7,5.9,3.3,2.3,2.2,4.8,5.2,2.8
200902월,4.1,5.4,5.0,2.1,1.8,4.4,5.2,3.3
200903월,3.9,10.1,4.7,1.9,1.8,3.2,4.5,3.1
200904월,3.6,12.2,3.4,1.7,1.6,3.2,4.2,3.0
200905월,2.7,10.8,1.4,1.7,1.6,2.9,3.9,1.8
200906월,2.0,6.6,0.3,1.4,1.7,2.6,3.5,0.5
200907월,1.6,5.7,-0.3,1.3,2.3,2.3,3.2,0.3
200908월,2.2,4.9,1.4,1.3,2.4,2.2,3.1,1.3
200909월,2.2,4.4,1.8,1.3,2.4,2.1,2.7,1.7
200910월,2.0,5.5,1.1,1.1,2.3,2.0,2.6,1.5
200911월,2.4,2.8,3.7,1.1,1.5,2.0,2.5,2.3
200912월,2.8,3.4,4.6,1.2,1.8,2.0,2.2,3.3
